UserId,Id,HelpfulnessNumerator,Score,Text,ReviewLength,ReviewCount,SentimentLabels,SentimentScores
A106ZCP7RSXMRU,19034,1,5,"We like the regular Little Bear cheese puffs so we tried the crunchy too. Excellent! Very satisfying crunch, yummy natural cheese taste, and nothing to feel bad about healthwise (unlike those awful fluorescent cheese-colored snacks popular in the grocery store!). This brand is excellent, we highly recommend all Little Bear foods!",331,40,POSITIVE,0.9998243451118469
A106ZCP7RSXMRU,62479,1,4,"Gorilla Munch tastes a lot like Cap'n Crunch, just not as sugary sweet and no chemical aftertaste. It's a good alternative to the unhealthy store brands if your kids are not into granola and only want the sweet cereals. Not our favorite of the Envirokids - we love the Panda Puffs - but if you are looking to replace Captain Crunch, Kix or similar cereal, this is a good choice.",378,40,POSITIVE,0.997501790523529
A106ZCP7RSXMRU,74434,2,5,"We love Garden of Eatin' chips. Our favorites varieties are Hot Dpicy Blues and Guacamole. This brand is healthy and organic so you can enjoy the great taste without reservation. I just wish Amazon would stock more, too often they are sold out!!!",246,40,POSITIVE,0.9992412328720093
A106ZCP7RSXMRU,74472,2,5,"We only buy organic natural foods without any hydrogenated oil or MSG. These chips are the best we have ever tried. We like the other Garden of Eatin' flavors we have ordered, but these hot spicy blues are the best. Truly if you like spicy you will crave these and nothing else will do. Even our 9-yr-old loves them! As of this writing we are down to 1 bag and they are currently unavailable - Amazon, please BRING THESE BACK!",426,40,POSITIVE,0.9956971406936646
A106ZCP7RSXMRU,94442,2,5,"We love Garden of Eatin' chips. Our favorites varieties are Hot Dpicy Blues and Guacamole. This brand is healthy and organic so you can enjoy the great taste without reservation. I just wish Amazon would stock more, too often they are sold out!!!",246,40,POSITIVE,0.9992412328720093
A106ZCP7RSXMRU,94480,2,5,"We only buy organic natural foods without any hydrogenated oil or MSG. These chips are the best we have ever tried. We like the other Garden of Eatin' flavors we have ordered, but these hot spicy blues are the best. Truly if you like spicy you will crave these and nothing else will do. Even our 9-yr-old loves them! As of this writing we are down to 1 bag and they are currently unavailable - Amazon, please BRING THESE BACK!",426,40,POSITIVE,0.9956971406936646
A106ZCP7RSXMRU,151847,3,3,"We tried McCanns oatmeal about a year ago, ordering the variety pack. It was delicious and healthy. So I decided to order one of the favorite flavors, Maple & Brown Sugar. It was still delicious and healthy, but I don't remember having so many ""hulls"" in the oatmeal. I'm assuming these little hard bits are part of the outer layer of the oat, harmless but not really edible. My daughter won't eat it now because of it, so I'm stuck with too much oatmeal. At least it keeps well, but I'd hesitate to order again.",512,40,NEGATIVE,0.9441130757331848
A106ZCP7RSXMRU,154638,2,5,"These were my favorite cracker snack until we stopped buying foods with MSG, hydrogenated oil, and other harmful ingredients. Sunshine must be listening to the health-conscious as they no longer use the bad stuff! So we are thrilled to add these to our pantry again. We love the hot spicy cheddar taste! There really is no substitute for the flavor when you are craving this, so we keep them stocked at all times.",413,40,POSITIVE,0.9992967844009399
A106ZCP7RSXMRU,159008,2,5,"This is our favorite brand of popcorn. They do not use hydrogenated oil, MSG, or aspartame in any of their flavors. Most of the kernals pop and it tastes fresh with no aftertaste. We enjoy the Butter Lovers and the Butter Kettle the most. The 28-ct box is a great value if you enjoy popcorn a lot. I buy this exact box at my local Sams for less than seven bucks though. Perhaps Amazon will carry it comparably.",410,40,POSITIVE,0.9989420771598816
A106ZCP7RSXMRU,161749,3,5,"We love these! It is hard not to eat the whole bag in one sitting since they are so delicious. But the bags are reclosable, so perfect for snacking in the car, keeping in your desk at work, or slipping into your kids' backpacks for a healthy munchable. Fresh, spicy, perfect!",275,40,POSITIVE,0.999711811542511
